"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Arsenal";24;16;5;3;46;17;53;49.3;18.79;52.73
2;"Manchester City";24;14;5;5;49;23;47;47.06;29.14;45.45
3;"Aston Villa";24;14;4;6;35;26;46;34.15;36.34;30.95
4;"Manchester United";24;11;8;5;44;36;41;46.9;32.14;40.67
5;"Chelsea";24;11;7;6;42;27;40;47.32;36.66;37.71
6;"Liverpool";24;11;6;7;39;33;39;42.94;31.02;41.02
7;"Brentford";24;11;3;10;36;32;36;43.03;34.12;37.72
8;"Sunderland";24;9;9;6;27;26;36;25.28;37.59;25.62
9;"Fulham";24;10;4;10;34;35;34;28.19;38.24;25.67
10;"Everton";24;9;7;8;26;27;34;29.36;36.91;28.79
11;"Newcastle United";24;9;6;9;33;33;33;38.02;29.97;38.51
12;"Bournemouth";24;8;9;7;40;43;33;41.77;35.03;38.41
13;"Brighton";24;7;10;7;34;32;31;37.39;38.2;32.78
14;"Tottenham";24;7;8;9;35;33;29;29.3;33.04;32.2
15;"Crystal Palace";24;7;8;9;25;29;29;41.24;37.01;35.29
16;"Leeds";24;6;8;10;31;42;26;35.61;35.32;35.37
17;"Nottingham Forest";24;7;5;12;24;35;26;26.71;40.05;24.55
18;"West Ham";24;5;5;14;29;48;20;30.01;47.64;24.62
19;"Burnley";24;3;6;15;25;47;15;22.19;53.52;14.35
20;"Wolverhampton Wanderers";24;1;5;18;15;45;8;22.41;37.44;23.96
